name	critic-score	audience-score	rating	genres	director_score	writer_score	actor_score	theater-date	streaming-date	box-office	runtime	studio
Santa's Apprentice (L'apprenti Pere Noel) (2010)	80%	41%	G	"Animation,Comedy,Kids & Family"	80	80	"89.0,75.0,75.0,80.0"	NA	28-Oct-08	NA	80 minutes	NA
The SpongeBob Movie: Sponge Out of Water	80%	54%	PG (for mild action and rude humor)	"Animation,Comedy,Kids & Family"	80	74	"53.5,55.0,48.0,74.0"	"Feb 6, 2015Â wide"	2-Jun-15	NA	100 minutes	Paramount Pictures
Ice Age: Collision Course	17%	39%	PG (for mild rude humor and some action/peril)	"Animation,Kids & Family"	38	17	"43.0,44.0,54.0,43.5"	"Jul 22, 2016Â wide"	11-Oct-16	"$64,060,187 "	100 minutes	20th Century Fox
Toy Story 3	98%	89%	G	"Animation,Comedy,Kids & Family,Science Fiction & Fantasy"	96.5	96.5	"73.0,49.0,71.0,76.0"	"Jun 18, 2010Â wide"	2-Nov-10	"$414,984,497 "	103 minutes	Walt Disney Pictures
Coraline2009	90%	73%	"PG (for thematic elements, scary images, some language and suggestive humor)"	"Action & Adventure,Animation,Kids & Family,Science Fiction & Fantasy"	92	92	"40.5,54.5,49.0,65.0"	"Feb 6, 2009Â wide"	21-Jul-09	"$75,169,351 "	101 minutes	Focus Features
The Boxtrolls (2014)	76%	63%	"PG (for action, some peril and mild rude humor)"	"Action & Adventure,Animation,Comedy,Kids & Family,Science Fiction & Fantasy"	62	76	"60.5,67.5,57.0,50.0"	"Sep 26, 2014Â wide"	20-Jan-15	"$52,098,992 "	97 minutes	Focus Features
Rudolph the Red-Nosed Reindeer1964	93%	83%	NR	"Animation,Classics,Kids & Family,Television"	80	75	"61.0,70.5,92.0,73.0"	"Jun 1, 1964Â wide"	17-Oct-00	NA	53 minutes	NA
Batman: Gotham by Gaslight2018	80%	61%	R	Animation	84.5	56	"56.0,56.0,50.0,18.0"	NA	6-Feb-18	NA	72 minutes	NA
The Lego Ninjago Movie	56%	46%	PG (for some mild action and rude humor)	"Action & Adventure,Animation,Comedy,Kids & Family"	56	56	"60.0,56.0,72.0,34.0"	"Sep 22, 2017Â wide"	19-Dec-17	"$58,938,889 "	90 minutes	Warner Bros. Pictures
Animals United (Konferenz der Tiere) (2010)	25%	27%	PG	"Animation,Art House & International,Kids & Family"	49	49	"64.0,60.0,54.5,76.0"	NA	10-Apr-12	"$550,851 "	90 minutes	Metropolitan Filmexport
The Ant Bully2006	63%	42%	PG (for some mild rude humor and action)	"Animation,Comedy,Drama,Kids & Family"	69	69	"55.0,50.0,72.0,64.5"	"Jul 28, 2006Â wide"	28-Nov-06	"$28,100,000 "	89 minutes	Warner Bros. Pictures
The Illusionist (L'illusionniste) (2010)	90%	79%	PG (for thematic elements and smoking)	"Animation,Art House & International,Comedy,Drama"	88.5	100	"90.0,90.0,36.0,90.0"	"Dec 25, 2010Â limited"	10-May-11	"$2,200,000 "	82 minutes	Sony Pictures Classics
Isle of Dogs	89%	88%	PG-13 (for thematic elements and some violent images)	"Action & Adventure,Animation,Comedy"	87	87	"70.0,89.0,73.0,64.5"	"Apr 13, 2018Â wide"	17-Jul-18	NA	101 minutes	Fox Searchlight Pictures
The Wild Thornberrys Movie (2002)	80%	50%	PG (for some adventure peril)	"Animation,Kids & Family"	80	76	"30.0,41.0,33.5,55.0"	"Dec 20, 2002Â wide"	1-Apr-03	"$39,766,440 "	85 minutes	Paramount Pictures
Futurama: Bender's Big Score2007	100%	80%	PG	"Animation,Comedy,Science Fiction & Fantasy"	90	88	"66.5,100.0,61.0,57.0"	"Dec 1, 2007Â wide"	1-Dec-07	NA	88 minutes	20th Century Fox Television
Fly Me to the Moon (2008)	19%	24%	G	"Animation,Kids & Family,Science Fiction & Fantasy"	44	20	"60.0,24.5,52.0,55.0"	"Aug 15, 2008Â wide"	2-Dec-08	"$13,592,311 "	84 minutes	Summit Entertainment
A Letter to Momo (2014)	80%	76%	NR	"Animation,Drama,Kids & Family"	67.5	67.5	"80.0,80.0,60.0,81.5"	"Jul 23, 2014Â limited"	21-Oct-14	NA	120 minutes	GKIDS
"It's the Great Pumpkin, Charlie Brown1966"	94%	84%	NR	"Animation,Kids & Family"	93	93	"92.0,69.5,94.0,94.0"	"Jan 1, 1966Â wide"	12-Sep-00	NA	25 minutes	NA
The Prince of Egypt	79%	76%	PG (for intense depiction of thematic elements)	"Animation,Drama,Kids & Family,Musical & Performing Arts"	79	78	"50.0,76.5,59.0,43.0"	"Dec 18, 1998Â wide"	14-Sep-99	NA	93 minutes	Dreamworks
Alvin and the Chipmunks: Chipwrecked (2011)	11%	51%	G	"Animation,Comedy,Kids & Family"	68	74	"42.0,42.0,29.0,38.0"	"Dec 16, 2011Â wide"	27-Mar-12	"$133,103,929 "	90 minutes	20th Century Fox
Gnomeo and Juliet2011	55%	54%	G	"Action & Adventure,Animation,Comedy,Kids & Family,Musical & Performing Arts,Romance"	55	55	"64.0,71.0,72.5,62.5"	"Feb 11, 2011Â wide"	24-May-11	"$99,808,609 "	84 minutes	Touchstone Pictures
Jack and the Cuckoo-Clock Heart2014	75%	65%	"PG (for scary images, suggestive material, some language and smoking)"	"Action & Adventure,Animation,Drama"	75	79	"75.0,75.0,75.0,75.0"	"Sep 24, 2014Â limited"	7-Oct-14	NA	102 minutes	Shout! Factory
Jonathan Livingston Seagull1973	10%	62%	G	"Animation,Drama,Kids & Family"	55	10	"55.0,31.0,62.5,83.0"	"Oct 23, 1973Â wide"	2-Oct-07	NA	99 minutes	NA
The Dark Crystal1982	74%	81%	PG	"Action & Adventure,Animation,Kids & Family,Science Fiction & Fantasy"	84	13.5	"74.5,84.0,84.5,83.0"	"Dec 17, 1982Â wide"	5-Oct-99	NA	93 minutes	NA
Beauty and the Beast (1991)	94%	92%	G	"Animation,Drama,Kids & Family,Musical & Performing Arts,Science Fiction & Fantasy,Romance"	72	NA	"17.0,31.0,44.0,82.0"	"Nov 22, 1991Â wide"	8-Oct-02	"$47,611,331 "	85 minutes	Buena Vista
Toys In The Attic (Na Pude) (2012)	73%	80%	PG (for some mild peril and brief smoking)	"Animation,Kids & Family,Science Fiction & Fantasy"	73	73	"57.5,73.0,50.0,36.5"	"Sep 7, 2012Â limited"	5-Feb-13	"$64,918 "	74 minutes	Hannover House
Wizards1977	63%	70%	"PG (adult situations/language, violence)"	"Action & Adventure,Animation,Kids & Family,Science Fiction & Fantasy"	59.5	59.5	"63.0,63.0,63.0,95.0"	"Feb 9, 1977Â limited"	25-May-04	NA	80 minutes	Eureka Entertainment Ltd
Animal Farm (1954)	60%	67%	NR	"Animation,Classics,Comedy,Drama,Kids & Family"	60	NA	"83.5,60.0"	"Jan 1, 1954Â wide"	2-Nov-04	NA	73 minutes	NA
NA												
Flushed Away	74%	65%	PG (for crude humor and some language)	"Animation,Comedy,Kids & Family"	50	74	"57.5,59.0,71.0,41.0"	"Nov 3, 2006Â wide"	20-Feb-07	"$64,459,316 "	84 minutes	Paramount
Dinosaurs: Giants of Patagonia (2007)	100%	51%	NR	"Animation,Documentary"	100	NA	"60.5,100.0"	"May 9, 2007Â wide"	1-Mar-11	NA	47 minutes	Sky High Entertainment
Valiant2005	32%	29%	G (nothing objectionable)	"Animation,Comedy,Kids & Family"	32	32.5	"63.0,52.5,33.5,76.0"	"Aug 19, 2005Â wide"	13-Dec-05	"$19,355,116 "	76 minutes	Buena Vista
Madagascar	55%	66%	"PG (for mild language, crude humor and some thematic elements)"	"Animation,Comedy,Kids & Family"	67.5	NA	"58.0,52.0,51.0,63.0"	"May 27, 2005Â wide"	15-Nov-05	"$193,136,719 "	86 minutes	Dreamworks
Justice League: Throne Of Atlantis (2014)	57%	63%	PG-13	"Action & Adventure,Animation"	64	57	"40.0,70.5,45.5,81.0"	NA	27-Jan-15	NA	72 minutes	Warner Home Video
Dr Seuss' The Lorax (2012)	53%	63%	PG (for brief mild language)	"Animation,Kids & Family"	64.5	55	"54.0,53.0,52.0,35.0"	"Mar 2, 2012Â wide"	7-Aug-12	"$213,949,505 "	87 minutes	Universal Pictures
Disney's A Christmas Carol	54%	58%	PG (for scary sequences and images)	"Animation,Drama,Kids & Family,Science Fiction & Fantasy"	63	63	"49.0,54.0,64.0,57.0"	"Nov 6, 2009Â wide"	16-Nov-10	"$137,816,456 "	96 minutes	Walt Disney Studios
The Spongebob Squarepants Movie	69%	77%	PG (for some mild crude humor)	"Animation,Comedy,Kids & Family,Special Interest"	NA	NA	"53.5,74.0,55.0,69.0"	"Nov 19, 2004Â wide"	1-Mar-05	"$85,373,733 "	90 minutes	Paramount Pictures
TMNT2007	34%	60%	"PG (for animated action violence, some scary cartoon images and mild language)"	"Action & Adventure,Animation,Science Fiction & Fantasy"	17.5	17.5	"42.5,35.0,37.5,55.0"	"Mar 23, 2007Â wide"	7-Aug-07	"$54,132,596 "	86 minutes	Warner Bros. Pictures
White Fang (Croc-Blanc) (2018)	88%	78%	NR	"Action & Adventure,Animation"	88	94	"56.0,58.0,64.5"	NA	6-Jul-18	NA	NA	NA
Despicable Me 3	59%	54%	PG (for action and rude humor)	"Animation,Comedy,Kids & Family"	56	55	"68.0,67.5,63.0,66.5"	"Jun 30, 2017Â wide"	5-Dec-17	"$264,194,540 "	90 minutes	Universal Pictures
An Oversimplification Of Her Beauty2013	81%	60%	NR	"Animation,Comedy,Special Interest"	81	81	"81.0,81.0,81.0,81.0"	"Apr 26, 2013Â limited"	30-Sep-13	"$42,308 "	89 minutes	Variance Films
Tekken2009	0%	31%	"R (for violence and brutal fighting throughout, and for some sexual content)"	"Action & Adventure,Animation,Art House & International,Drama,Science Fiction & Fantasy"	33	18	"26.0,45.0,60.0,62.5"	"Nov 5, 2009Â wide"	19-Jul-11	NA	91 minutes	NA
Chicken Run2000	97%	64%	G	"Action & Adventure,Animation,Comedy,Drama,Kids & Family"	93.5	78	"60.0,64.0,64.0,75.0"	"Jun 21, 2000Â wide"	21-Nov-00	"$106,604,314 "	85 minutes	Dreamworks Pictures
The Tigger Movie2000	62%	62%	G	"Animation,Kids & Family"	51	51	"49.0,71.0,66.5,54.5"	"Feb 11, 2000Â wide"	22-Aug-00	NA	77 minutes	Buena Vista
NA												
"Batman: The Dark Knight Returns, Part 12012"	100%	93%	PG-13 (for some intense sequences of violence and action)	"Action & Adventure,Animation"	90	100	"45.0,72.0,38.0,60.0"	"Jan 1, 2012Â wide"	25-Sep-12	NA	134 minutes	WARNER BROTHERS PICTURES
The Hero of Color City2014	25%	49%	G	"Animation,Kids & Family"	30	25	"43.0,59.5,60.0,53.0"	"Oct 3, 2014Â limited"	2-Dec-14	"$32,048 "	77 minutes	Magnolia Pictures
Saludos Amigos (1943)	80%	42%	G	"Animation,Classics,Comedy,Kids & Family,Special Interest"	93	97.5	"84.0,84.0,88.0,84.0"	"Feb 6, 1943Â wide"	2-May-00	NA	42 minutes	NA
Ghost in the Shell 2 - Innocence (2004)	64%	80%	"PG-13 (for violence, disturbing images and brief language)"	"Animation,Anime & Manga,Drama,Mystery & Suspense,Science Fiction & Fantasy"	78	78	"73.5,75.5,64.0,81.5"	"Sep 17, 2004Â wide"	28-Dec-04	"$856,451 "	99 minutes	Go Fish Pictures
Minuscule: Valley of the Lost Ants (Minuscule - La valle des fourmis perdues) (2014)	89%	70%	NR	"Action & Adventure,Animation,Art House & International,Comedy"	89	89	NA	NA	25-May-15	"$195,294 "	66 minutes	NA
The Simpsons Movie2007	88%	77%	PG-13 (for irreverent humor throughout)	"Animation,Comedy"	91.5	88	"72.0,33.0,78.0,40.0"	"Jul 27, 2007Â wide"	18-Dec-07	"$183,100,000 "	86 minutes	20th Century Fox
Tarzan II2005	33%	37%	G	"Animation,Kids & Family"	60.5	33	"52.0,56.0,44.0,42.0"	"Jun 14, 2005Â wide"	14-Jun-05	NA	72 minutes	Disney Toon Studios
Rock-a-Doodle1992	20%	55%	G	"Action & Adventure,Animation,Kids & Family,Musical & Performing Arts,Science Fiction & Fantasy"	62	42	"21.0,60.0,63.0,68.0"	"Apr 3, 1992Â wide"	7-Aug-01	NA	77 minutes	NA
Escape From Planet Earth2013	34%	54%	PG (for action and some mild rude humor)	"Action & Adventure,Animation,Comedy,Science Fiction & Fantasy"	34	34	"34.0,39.0,47.5,25.5"	"Feb 15, 2013Â wide"	4-Jun-13	"$54,700,000 "	89 minutes	The Weinstein Co.
Mutant Aliens2001	38%	75%	R	"Animation,Comedy,Drama,Science Fiction & Fantasy"	73.5	73.5	"38.0,38.0,38.0,50.5"	"Jan 19, 2001Â wide"	1-Jul-03	NA	81 minutes	NA
Alvin and the Chipmunks2007	27%	64%	PG (for some mild rude humor)	"Animation,Comedy,Kids & Family"	27	54.5	"42.0,28.0,46.0,67.5"	"Dec 14, 2007Â wide"	1-Apr-08	"$217,172,612 "	91 minutes	20th Century Fox
Bee Movie2007	50%	53%	PG (for mild suggestive humor)	"Animation,Comedy,Kids & Family"	67.5	50	"88.0,59.0,56.0,41.5"	"Nov 2, 2007Â wide"	11-Mar-08	"$126,597,121 "	90 minutes	Paramount Pictures
La Leyenda del Chupacabras	14%	50%	PG (for action/scary images and brief smoking)	"Action & Adventure,Animation,Horror,Kids & Family"	83	83	"14.0,29.5,14.0,14.0"	"Oct 14, 2016Â limited"	7-Mar-17	NA	81 minutes	NA
Surf's Up2007	79%	70%	PG (for mild language and some rude humor)	"Action & Adventure,Animation,Kids & Family"	79	28.5	"58.0,71.0,47.0,58.5"	"Jun 8, 2007Â wide"	9-Oct-07	"$58,867,694 "	85 minutes	Sony Pictures
Tinker Bell2008	89%	73%	G	"Animation,Kids & Family,Science Fiction & Fantasy"	71	71	"64.0,44.0,42.0,54.0"	"Oct 28, 2008Â wide"	28-Oct-08	NA	78 minutes	Walt Disney Pictures
Fullmetal Alchemist: The Sacred Star of Milos2012	85%	81%	NR	"Action & Adventure,Animation,Anime & Manga,Science Fiction & Fantasy"	85	85	"85.0,85.0,81.0,85.0"	"Jan 20, 2012Â limited"	24-Apr-12	NA	110 minutes	Eleven Arts
Justice League Dark2017	75%	67%	R	"Action & Adventure,Animation,Science Fiction & Fantasy"	90	79	"45.5,22.0,59.0,33.0"	NA	7-Feb-17	NA	66 minutes	NA
Idiots and Angels (2010)	93%	76%	NR	"Animation,Comedy,Drama"	73.5	73.5	NA	"Oct 8, 2010Â limited"	27-Jun-11	NA	78 minutes	Bill Plympton Studios
Despicable Me2010	81%	82%	PG (for rude humor and mild action)	"Animation,Comedy,Kids & Family"	66.5	55	"68.0,64.5,55.5,67.0"	"Jul 9, 2010Â wide"	14-Dec-10	"$251,476,985 "	95 minutes	Universal Pictures
Mr. Peabody & Sherman	80%	73%	PG (for some mild action and brief rude humor)	"Action & Adventure,Animation,Comedy,Kids & Family"	68.5	56	"65.0,72.0,68.0,72.0"	"Mar 7, 2014Â wide"	14-Oct-14	"$101,784,999 "	92 minutes	20th Century Fox
Piglet's Big Movie2003	71%	63%	G	"Animation,Kids & Family,Musical & Performing Arts"	76.5	75	"62.0,49.0,56.0,71.0"	"Mar 21, 2003Â wide"	29-Jul-03	"$23,073,611 "	75 minutes	Walt Disney Pictures
The Seventh Dwarf (2015)	22%	28%	PG (for thematic elements and some suggestive material)	"Animation,Comedy"	51	22	"37.0,26.5,22.0,22.0"	"Jul 31, 2015Â limited"	18-Aug-15	NA	87 minutes	Shout! Factory
Fun & Fancy Free1947	75%	62%	G	"Action & Adventure,Animation,Classics,Comedy,Kids & Family,Musical & Performing Arts"	88	89	"88.0,75.0,75.0,75.0"	"Sep 27, 1947Â wide"	20-Jun-00	NA	96 minutes	NA
The Trumpet of the Swan2001	15%	36%	G	"Action & Adventure,Animation,Comedy,Drama,Kids & Family"	15	15	"50.0,56.0,53.0,51.0"	"May 11, 2001Â limited"	31-Jul-01	NA	75 minutes	NA
Tekkonkinkreet (Tekkon kinkurto) (2007)	72%	88%	"R (for some violent and disturbing images, and brief sexuality)"	"Action & Adventure,Animation,Anime & Manga,Science Fiction & Fantasy"	72	66.5	"81.5,73.5,72.0,72.0"	"Sep 1, 2007Â wide"	25-Sep-07	NA	111 minutes	Destination Films
Woody Woodpecker (2017)	14%	34%	"PG (for some action, rude humor and language)"	"Animation,Comedy,Kids & Family"	27	27	"53.5,59.0,14.0,20.0"	NA	6-Feb-18	NA	84 minutes	Universal Pictures Home Entertainment
Maya The Bee Movie (2015)	44%	45%	G	Animation	58.5	58.5	"71.0,56.0,69.0,63.0"	"May 1, 2015Â limited"	18-May-15	NA	79 minutes	Shout! Factory
Meet the Robinsons2007	67%	74%	G	"Action & Adventure,Animation,Kids & Family"	83.5	67	"55.5,81.0,45.0,67.0"	"Mar 30, 2007Â wide"	23-Oct-07	"$97,690,955 "	96 minutes	Buena Vista
Romeo and Juliet: Sealed With a Kiss (2006)	20%	53%	G	"Animation,Kids & Family,Science Fiction & Fantasy"	41.5	41.5	"20.0,20.0,20.0,41.5"	"Jun 23, 2006Â wide"	19-Jun-07	"$80,938 "	77 minutes	Indican Pictures
Ice Age: Dawn of the Dinosaurs (Ice Age 3)2009	46%	62%	PG (for some mild rude humor and peril)	"Action & Adventure,Animation,Comedy,Kids & Family"	51.5	42	"43.0,44.0,54.0,70.0"	"Jul 1, 2009Â wide"	27-Oct-09	"$124,605,432 "	94 minutes	20th Century Fox/Emerging Pictures
"Mickey, Donald, Goofy: The Three Musketeers2004"	36%	49%	G	"Action & Adventure,Animation,Comedy,Kids & Family"	41	NA	"36.0,69.5,36.0,40.0"	"Aug 3, 2004Â wide"	17-Aug-04	NA	68 minutes	NA
Pokemon 3: The Movie (2001)	21%	52%	G	"Action & Adventure,Animation,Kids & Family,Science Fiction & Fantasy,Television"	17	21	"17.0,15.0,15.0,16.0"	"Apr 6, 2001Â wide"	21-Aug-01	"$16,373,155 "	73 minutes	Warner Bros. Pictures
Capture the Flag (2016)	46%	40%	"NR (for action, language and some themtic elements)"	"Action & Adventure,Animation,Art House & International,Comedy"	34.5	NA	"46.0,42.0,46.0,46.0"	NA	1-Mar-16	"$1,023,587 "	97 minutes	NA
The Jungle Book1967	86%	82%	PG	"Action & Adventure,Animation,Kids & Family,Musical & Performing Arts,Romance"	83	78	"86.0,86.0,88.0,88.0"	"Oct 18, 1967Â wide"	11-Feb-14	NA	78 minutes	NA
Futurama: The Beast With a Billion Backs (2008)	80%	66%	NR	"Animation,Comedy,Science Fiction & Fantasy,Television"	90	88	"66.5,61.0,57.0,71.0"	"Jun 24, 2008Â wide"	24-Jun-08	NA	90 minutes	Fox Home Entertainment
The Three Caballeros (1944)	88%	67%	G	"Animation,Classics,Comedy,Kids & Family"	96	92	"77.5,77.5,84.0,88.0"	"Jan 1, 1944Â wide"	2-May-00	NA	71 minutes	NA
Lady and the Tramp1955	93%	80%	G	"Animation,Drama,Kids & Family"	88	93	"93.0,93.0,88.0,73.5"	"Jun 22, 1955Â wide"	7-Feb-12	NA	76 minutes	NA
Shrek	88%	90%	PG (for mild language and some crude humor)	"Animation,Comedy,Kids & Family"	35	73.5	"56.5,41.5,44.0,64.0"	"May 18, 2001Â wide"	2-Nov-01	"$266,982,666 "	93 minutes	Dreamworks
The Tale of Despereaux2008	56%	44%	G	"Action & Adventure,Animation,Comedy,Kids & Family"	56	42	"56.0,80.0,73.0,56.0"	"Dec 19, 2008Â wide"	7-Apr-09	"$50,818,750 "	94 minutes	Universal Pictures
A Charlie Brown Thanksgiving1973	100%	74%	NR	"Animation,Drama,Kids & Family"	93	93	"100.0,96.0"	"Jan 1, 2003Â wide"	12-Sep-00	NA	25 minutes	NA
Pinocchio1940	100%	72%	G	"Animation,Kids & Family,Musical & Performing Arts,Science Fiction & Fantasy"	88	98.5	"95.0,100.0,89.0,94.5"	"Feb 7, 1940Â wide"	10-Mar-09	NA	88 minutes	NA
DCU: Justice League: The Flashpoint Paradox2013	100%	93%	PG-13	"Action & Adventure,Animation"	90	NA	"50.0,81.0,42.0,58.5"	NA	30-Jul-13	NA	95 minutes	WARNER BROTHERS PICTURES
Barnyard2006	22%	52%	PG (for some mild peril and rude humor)	"Animation,Comedy,Kids & Family"	28	28	"23.0,31.0,64.0,60.0"	"Aug 4, 2006Â wide"	12-Dec-06	"$72,601,713 "	90 minutes	Paramount Pictures
The Croods2013	72%	77%	PG (for some scary action)	"Action & Adventure,Animation,Comedy,Kids & Family"	74	74	"50.0,60.5,43.5,62.5"	"Mar 22, 2013Â wide"	1-Oct-13	"$187,165,546 "	98 minutes	20th Century Fox
Stitch! The Movie2003	20%	50%	G	"Animation,Comedy,Kids & Family"	43	44	"29.0,74.0,40.0,43.0"	"Aug 26, 2003Â wide"	26-Aug-03	NA	64 minutes	NA
Minions	56%	49%	PG (for action and rude humor)	"Animation,Comedy,Kids & Family"	66.5	54	"64.5,43.0,61.0,57.0"	"Jul 10, 2015Â wide"	8-Dec-15	"$277,969,969 "	91 minutes	Universal Pictures
Lilo & Stitch 2: Stitch Has a Glitch (2005)	40%	56%	PG (adult situations)	"Animation,Kids & Family"	40	37	"40.5,29.0,74.0,46.5"	"Aug 15, 2005Â wide"	30-Aug-05	NA	68 minutes	NA
Batman Ninja	80%	40%	PG-13	"Action & Adventure,Animation,Anime & Manga,Drama"	80	80	"81.5,80.0,73.5,80.0"	NA	8-May-18	NA	85 minutes	NA
Batman: Year One (2011)	88%	79%	PG-13	"Action & Adventure,Animation"	84.5	59.5	"24.0,70.0,35.0,57.0"	NA	18-Oct-11	NA	65 minutes	Warner Bros.
Snow White and the Seven Dwarfs	98%	78%	G	"Animation,Classics,Kids & Family,Science Fiction & Fantasy"	90	98	"98.0,89.5,90.5,98.0"	"Dec 21, 1937Â wide"	6-Oct-09	NA	83 minutes	Walt Disney Pictures
Mulan	86%	85%	G	"Action & Adventure,Animation,Kids & Family"	86	86	"27.5,41.5,86.0,60.0"	"Jun 19, 1998Â wide"	9-Nov-99	NA	88 minutes	NA
Fantastic Mr. Fox	92%	85%	"PG (for action, smoking and slang humor)"	"Action & Adventure,Animation,Comedy,Kids & Family"	87	87	"69.5,72.0,69.0,67.0"	"Nov 25, 2009Â wide"	23-Mar-10	"$21,000,000 "	87 minutes	20th Century Fox
Lilo & Stitch	86%	77%	PG (for mild sci-fi action)	"Action & Adventure,Animation,Comedy"	91	91	"40.0,29.0,50.0,47.5"	"Jun 21, 2002Â wide"	3-Dec-02	"$145,771,527 "	85 minutes	Buena Vista Distribution Compa
War of the Worlds: Goliath (2014)	0%	44%	PG-13 (for fantasy war violence including some disturbing images)	"Action & Adventure,Animation,Science Fiction & Fantasy"	0	0	"9.0,21.0,8.0,48.0"	"Mar 7, 2014Â limited"	1-Apr-14	NA	85 minutes	Anderson Digital
Big Hero 62014	89%	91%	"PG (for action and peril, some rude humor, and thematic elements)"	"Animation,Kids & Family"	89.5	79.5	"89.0,50.5,64.5,34.5"	"Nov 7, 2014Â wide"	24-Feb-15	NA	93 minutes	Walt Disney Pictures
Alvin and the Chipmunks: The Road Chip	15%	51%	PG (for some mild rude humor and language)	"Animation,Comedy,Kids & Family"	14	19	"42.0,64.0,29.0,30.5"	"Dec 18, 2015Â wide"	15-Mar-16	"$66,580,191 "	86 minutes	20th Century Fox
Mary and Max	95%	92%	G	"Animation,Comedy,Drama"	95	95	"67.5,77.0,61.5,62.0"	"Jan 15, 2009Â wide"	15-Jun-10	NA	92 minutes	IFC Films
All Dogs Go To Heaven 21996	20%	38%	G	"Animation,Kids & Family"	37.5	22	"20.0,20.0,50.0,20.0"	"Mar 29, 1996Â wide"	6-Mar-01	NA	82 minutes	NA
Everyone's Hero (2006)	41%	44%	G	"Action & Adventure,Animation,Comedy,Kids & Family"	60	41	"46.0,42.0,44.0,56.0"	"Sep 15, 2006Â wide"	20-Mar-07	"$14,497,591 "	87 minutes	20th Century Fox
